epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
153,1817.17,0.38037,0.41849,0.01406,0.93621,0.9124,0.96521,0.88094,0.4707,0.30617,0.01389,0.0004984,0.0004984,0.0004984
154,1827.77,0.39113,0.42111,0.01464,0.94839,0.91864,0.96412,0.88253,0.46294,0.28635,0.01373,0.0004951,0.0004951,0.0004951
155,1838.4,0.37914,0.39998,0.01419,0.92438,0.93154,0.96938,0.87292,0.52482,0.3014,0.01592,0.0004918,0.0004918,0.0004918
156,1848.84,0.36833,0.39956,0.0139,0.93388,0.89821,0.96049,0.88078,0.47334,0.32233,0.01406,0.0004885,0.0004885,0.0004885
157,1859.28,0.37659,0.41005,0.01398,0.90937,0.89278,0.95734,0.87516,0.47619,0.36875,0.01406,0.0004852,0.0004852,0.0004852
158,1870.12,0.37852,0.41449,0.01431,0.94773,0.91436,0.96142,0.88455,0.45403,0.30323,0.01332,0.0004819,0.0004819,0.0004819
159,1886.67,0.37345,0.4061,0.01438,0.94969,0.93938,0.97515,0.88816,0.48959,0.2587,0.01453,0.0004786,0.0004786,0.0004786
160,1901.22,0.37318,0.40568,0.0142,0.96307,0.91071,0.96896,0.89109,0.46815,0.28204,0.01388,0.0004753,0.0004753,0.0004753
161,1911.75,0.36551,0.40617,0.0139,0.94536,0.92091,0.97333,0.89888,0.46054,0.26691,0.0136,0.000472,0.000472,0.000472
162,1922.31,0.35603,0.39372,0.01391,0.95366,0.90725,0.96176,0.88518,0.46521,0.32144,0.01381,0.0004687,0.0004687,0.0004687
163,1932.82,0.36163,0.40205,0.01414,0.94769,0.92899,0.96683,0.89268,0.45101,0.29365,0.01331,0.0004654,0.0004654,0.0004654
164,1943.29,0.35528,0.39095,0.01371,0.93688,0.93151,0.96918,0.88605,0.48115,0.29075,0.01436,0.0004621,0.0004621,0.0004621
165,1953.75,0.34977,0.39563,0.01357,0.9426,0.88403,0.96409,0.88027,0.47344,0.33108,0.01399,0.0004588,0.0004588,0.0004588
166,1964.47,0.35507,0.39681,0.01381,0.94732,0.9066,0.9657,0.8876,0.45725,0.31664,0.01344,0.0004555,0.0004555,0.0004555
167,1975.06,0.35716,0.4074,0.0141,0.96331,0.90386,0.96272,0.88264,0.47413,0.31606,0.0138,0.0004522,0.0004522,0.0004522
168,1986.95,0.34762,0.39164,0.01354,0.94847,0.92743,0.9701,0.89055,0.46669,0.28942,0.01379,0.0004489,0.0004489,0.0004489
169,2003.58,0.34825,0.40157,0.01354,0.91328,0.93194,0.96116,0.87879,0.46273,0.30598,0.0137,0.0004456,0.0004456,0.0004456
170,2018.23,0.34636,0.39858,0.0133,0.95112,0.92842,0.96759,0.88751,0.46367,0.27916,0.01375,0.0004423,0.0004423,0.0004423
171,2029.37,0.34876,0.39944,0.01384,0.93573,0.9256,0.96637,0.89689,0.45232,0.30551,0.01325,0.000439,0.000439,0.000439
172,2039.88,0.34199,0.379,0.0134,0.96732,0.92028,0.97024,0.89179,0.46866,0.26918,0.01394,0.0004357,0.0004357,0.0004357
173,2050.39,0.33961,0.39707,0.01346,0.95122,0.92752,0.97506,0.9004,0.46479,0.27021,0.01364,0.0004324,0.0004324,0.0004324
174,2061.06,0.33719,0.37834,0.0132,0.95515,0.92747,0.97411,0.89748,0.46139,0.2641,0.01361,0.0004291,0.0004291,0.0004291
175,2071.57,0.34532,0.37778,0.01398,0.94114,0.92545,0.96691,0.88096,0.48688,0.29055,0.01453,0.0004258,0.0004258,0.0004258
176,2082.18,0.3329,0.37445,0.01301,0.95424,0.9315,0.96914,0.89645,0.45415,0.25828,0.01326,0.0004225,0.0004225,0.0004225
177,2093,0.33522,0.37961,0.01325,0.97746,0.90267,0.97043,0.89896,0.45792,0.26599,0.01347,0.0004192,0.0004192,0.0004192
178,2103.75,0.33547,0.37011,0.01346,0.94608,0.9196,0.96308,0.89026,0.44522,0.27871,0.01303,0.0004159,0.0004159,0.0004159
179,2120.27,0.34488,0.38385,0.01357,0.9582,0.92515,0.96869,0.90045,0.4396,0.26176,0.01276,0.0004126,0.0004126,0.0004126
180,2134.36,0.34063,0.37546,0.01356,0.96705,0.9287,0.97191,0.89822,0.44599,0.25138,0.01309,0.0004093,0.0004093,0.0004093
181,2145.06,0.32581,0.3684,0.01282,0.962,0.92838,0.97315,0.9007,0.44647,0.26453,0.01317,0.000406,0.000406,0.000406
182,2155.76,0.33837,0.35925,0.01349,0.96128,0.92051,0.97274,0.90201,0.44862,0.28217,0.0131,0.0004027,0.0004027,0.0004027
